region_id,make_model,number_deployed,equipment_type
2554,ImageCast X/ICX BMD (Dominion),2,Ballot Marking Device
2554,ImageCast Precinct/ICP (Dominion),13,Scanner
2555,ExpressVote (ES&S),156,Ballot Marking Device
2555,DS200 (ES&S),78,Scanner
2556,Verity Touch Writer (Hart),67,Ballot Marking Device
2556,Verity Scan (Hart),85,Scanner
2557,ExpressVote (ES&S),9,Ballot Marking Device
2557,DS450 (ES&S),1,Scanner
2558,ExpressVote (ES&S),10,Ballot Marking Device
2558,DS850 (ES&S),1,Scanner
2559,ExpressVote (ES&S),7,Ballot Marking Device
2559,DS450 (ES&S),1,Scanner
2560,ExpressVote (ES&S),4,Ballot Marking Device
2560,DS200 (ES&S),6,Scanner
2561,ExpressVote (ES&S),8,Ballot Marking Device
2561,DS200 (ES&S),2,Scanner
2562,ExpressVote (ES&S),5,Ballot Marking Device
2562,DS200 (ES&S),1,Scanner
2563,ExpressVote (ES&S),5,Ballot Marking Device
2563,DS950 (ES&S),1,Scanner
2564,ExpressVote (ES&S),8,Ballot Marking Device
2564,DS200 (ES&S),9,Scanner
2565,ExpressVote (ES&S),12,Ballot Marking Device
2565,DS200 (ES&S),9,Scanner
2566,ExpressVote (ES&S),5,Ballot Marking Device
2567,ExpressVote (ES&S),3,Ballot Marking Device
2567,DS200 (ES&S),6,Scanner
2568,ExpressVote (ES&S),4,Ballot Marking Device
2568,DS450 (ES&S),1,Scanner
2569,ExpressVote (ES&S),2,Ballot Marking Device
2570,ExpressVote (ES&S),9,Ballot Marking Device
2570,DS450 (ES&S),1,Scanner
2571,ExpressVote (ES&S),17,Ballot Marking Device
2571,DS850 (ES&S),2,Scanner
2571,DS950 (ES&S),1,Scanner
2572,ExpressVote (ES&S),17,Ballot Marking Device
2572,DS850 (ES&S),3,Scanner
2572,DS950 (ES&S),1,Scanner
2573,ExpressVote (ES&S),4,Ballot Marking Device
2574,ExpressVote (ES&S),7,Ballot Marking Device
2574,DS200 (ES&S),6,Scanner
2575,ExpressVote (ES&S),2,Ballot Marking Device
2576,ExpressVote (ES&S),4,Ballot Marking Device
2576,DS450 (ES&S),1,Scanner
2577,ExpressVote (ES&S),5,Ballot Marking Device
2577,DS450 (ES&S),1,Scanner
2578,ExpressVote (ES&S),8,Ballot Marking Device
2578,DS450 (ES&S),1,Scanner
2579,ExpressVote (ES&S),8,Ballot Marking Device
2579,DS200 (ES&S),1,Scanner
2580,ExpressVote (ES&S),12,Ballot Marking Device
2580,DS450 (ES&S),2,Scanner
2581,ExpressVote (ES&S),18,Ballot Marking Device
2581,DS850 (ES&S),3,Scanner
2582,ExpressVote (ES&S),3,Ballot Marking Device
2582,DS200 (ES&S),1,Scanner
2583,ExpressVote (ES&S),4,Ballot Marking Device
2583,DS450 (ES&S),1,Scanner
2584,ExpressVote (ES&S),4,Ballot Marking Device
2585,ExpressVote (ES&S),10,Ballot Marking Device
2585,DS450 (ES&S),1,Scanner
2586,ExpressVote (ES&S),2,Ballot Marking Device
2587,ExpressVote (ES&S),5,Ballot Marking Device
2587,DS200 (ES&S),4,Scanner
2588,ExpressVote (ES&S),21,Ballot Marking Device
2588,DS850 (ES&S),5,Scanner
2589,ExpressVote (ES&S),3,Ballot Marking Device
2589,DS200 (ES&S),5,Scanner
2590,ExpressVote (ES&S),4,Ballot Marking Device
2590,DS450 (ES&S),1,Scanner
2591,ExpressVote (ES&S),1,Ballot Marking Device
2591,DS200 (ES&S),1,Scanner
2592,ExpressVote (ES&S),2,Ballot Marking Device
2592,DS200 (ES&S),2,Scanner
2593,ExpressVote (ES&S),5,Ballot Marking Device
2593,DS300 (ES&S),3,Scanner
2594,ExpressVote (ES&S),4,Ballot Marking Device
2595,ExpressVote (ES&S),6,Ballot Marking Device
2595,DS450 (ES&S),1,Scanner
2596,ExpressVote (ES&S),3,Ballot Marking Device
2597,ExpressVote (ES&S),10,Ballot Marking Device
2597,DS850 (ES&S),2,Scanner
2598,ExpressVote (ES&S),9,Ballot Marking Device
2598,DS450 (ES&S),2,Scanner
2599,ExpressVote (ES&S),11,Ballot Marking Device
2599,DS450 (ES&S),1,Scanner
2600,ExpressVote (ES&S),7,Ballot Marking Device
2600,DS200 (ES&S),8,Scanner
2601,ExpressVote (ES&S),7,Ballot Marking Device
2601,DS850 (ES&S),1,Scanner
2602,ExpressVote (ES&S),4,Ballot Marking Device
2602,DS200 (ES&S),5,Scanner
2603,ExpressVote (ES&S),6,Ballot Marking Device
2603,DS850 (ES&S),2,Scanner
2604,ExpressVote (ES&S),10,Ballot Marking Device
2604,DS300 (ES&S),12,Scanner
2605,ExpressVote (ES&S),2,Ballot Marking Device
2605,DS200 (ES&S),4,Scanner
2606,ExpressVote (ES&S),6,Ballot Marking Device
2606,DS200 (ES&S),3,Scanner
2607,ExpressVote (ES&S),5,Ballot Marking Device
2607,DS200 (ES&S),3,Scanner
2608,ExpressVote (ES&S),2,Ballot Marking Device
2609,ExpressVote (ES&S),1,Ballot Marking Device
2609,DS200 (ES&S),4,Scanner
2610,ExpressVote (ES&S),4,Ballot Marking Device
2610,DS300 (ES&S),2,Scanner
2611,ExpressVote (ES&S),1,Ballot Marking Device
2611,DS200 (ES&S),2,Scanner
2612,ExpressVote (ES&S),12,Ballot Marking Device
2612,DS850 (ES&S),3,Scanner
2612,DS950 (ES&S),1,Scanner
2613,ExpressVote (ES&S),23,Ballot Marking Device
2613,DS450 (ES&S),1,Scanner
2614,ExpressVote (ES&S),9,Ballot Marking Device
2614,DS450 (ES&S),1,Scanner
2615,ExpressVote (ES&S),2,Ballot Marking Device
2615,DS200 (ES&S),1,Scanner
2616,ExpressVote (ES&S),2,Ballot Marking Device
2616,DS200 (ES&S),1,Scanner
2617,ExpressVote (ES&S),2,Ballot Marking Device
2617,DS200 (ES&S),1,Scanner
2618,ExpressVote (ES&S),1,Ballot Marking Device
2618,DS450 (ES&S),1,Scanner
2619,ExpressVote (ES&S),9,Ballot Marking Device
2619,DS450 (ES&S),1,Scanner
2620,ExpressVote (ES&S),4,Ballot Marking Device
2620,DS450 (ES&S),1,Scanner
2621,ExpressVote (ES&S),4,Ballot Marking Device
