region_id,Manufacturer,Model Name,quantity,Equipment Type,Age,OS,Certification Level,Scanning Rate,Error Rate,Reliability
102,ES&S,ExpressVote,26,BMD,11,,VVSG 1.0 (2005),,,
102,ES&S,DS200,10,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
103,ES&S,ExpressVote,14,BMD,11,,VVSG 1.0 (2005),,,
104,ES&S,iVotronic,77,DRE Touchscreen,-1,,,,,
105,ES&S,ExpressVote,42,BMD,11,,VVSG 1.0 (2005),,,
105,ES&S,ExpressVote Tabulator,10,,-1,,,,,
106,ES&S,ExpressVote,115,BMD,11,,VVSG 1.0 (2005),,,
106,ES&S,DS200,27,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
106,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
107,ES&S,ExpressVote,26,BMD,11,,VVSG 1.0 (2005),,,
108,ES&S,ExpressVote,26,BMD,11,,VVSG 1.0 (2005),,,
108,ES&S,DS200,17,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
109,ES&S,ExpressVote,140,BMD,11,,VVSG 1.0 (2005),,,
109,ES&S,DS200,40,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
110,ES&S,ExpressVote,24,BMD,11,,VVSG 1.0 (2005),,,
110,ES&S,DS200,12,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
111,ES&S,ExpressVote,55,BMD,11,,VVSG 1.0 (2005),,,
111,ES&S,DS200,14,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
112,ES&S,ExpressVote,29,BMD,11,,VVSG 1.0 (2005),,,
113,ES&S,ExpressVote,39,BMD,11,,VVSG 1.0 (2005),,,
113,ES&S,DS200,14,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
114,ES&S,ExpressVote,20,BMD,11,,VVSG 1.0 (2005),,,
114,ES&S,DS200,6,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
115,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
116,ES&S,DS200,9,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
117,ES&S,ExpressVote,45,BMD,11,,VVSG 1.0 (2005),,,
117,ES&S,ExpressVote Tabulator,45,,-1,,,,,
118,ES&S,ExpressVote,148,BMD,11,,VVSG 1.0 (2005),,,
118,ES&S,DS200,42,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
119,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
119,ES&S,DS200,14,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
121,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
121,ES&S,DS200,77,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
122,ES&S,DS200,7,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
123,ES&S,ExpressVote,19,BMD,11,,VVSG 1.0 (2005),,,
123,ES&S,DS200,5,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
124,ES&S,ExpressVote,22,BMD,11,,VVSG 1.0 (2005),,,
124,ES&S,DS200,7,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
125,ES&S,ExpressVote,34,BMD,11,,VVSG 1.0 (2005),,,
125,ES&S,DS200,10,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
126,ES&S,ExpressVote,72,BMD,11,,VVSG 1.0 (2005),,,
126,ES&S,DS200,12,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
127,ES&S,ExpressVote,48,BMD,11,,VVSG 1.0 (2005),,,
127,ES&S,DS200,7,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
128,ES&S,ExpressVote,29,BMD,11,,VVSG 1.0 (2005),,,
128,ES&S,DS200,9,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
129,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
129,ES&S,DS200,77,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
130,ES&S,ExpressVote,42,BMD,11,,VVSG 1.0 (2005),,,
130,ES&S,DS200,18,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
131,ES&S,ExpressVote,12,BMD,11,,VVSG 1.0 (2005),,,
131,ES&S,DS200,8,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
132,ES&S,iVotronic,77,DRE Touchscreen,-1,,,,,
132,ES&S,ExpressVote Tabulator,77,,-1,,,,,
133,ES&S,ExpressVote,20,BMD,11,,VVSG 1.0 (2005),,,
133,ES&S,ExpressVote,20,BMD,11,,VVSG 1.0 (2005),,,
133,ES&S,DS200,10,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
134,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
134,ES&S,iVotronic,77,DRE Touchscreen,-1,,,,,
135,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
136,ES&S,iVotronic,10,DRE Touchscreen,-1,,,,,
137,ES&S,iVotronic,77,DRE Touchscreen,-1,,,,,
138,ES&S,ExpressVote,20,BMD,11,,VVSG 1.0 (2005),,,
138,ES&S,DS200,6,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
139,ES&S,ExpressVote,25,BMD,11,,VVSG 1.0 (2005),,,
139,ES&S,DS200,11,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
140,ES&S,ExpressVote,36,BMD,11,,VVSG 1.0 (2005),,,
140,ES&S,DS200,12,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
141,ES&S,ExpressVote,60,BMD,11,,VVSG 1.0 (2005),,,
141,ES&S,DS200,10,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
142,ES&S,ExpressVote,24,BMD,11,,VVSG 1.0 (2005),,,
142,ES&S,DS200,12,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
142,ES&S,DS200,77,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
143,ES&S,ExpressVote,227,BMD,11,,VVSG 1.0 (2005),,,
143,ES&S,DS200,104,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
143,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
144,ES&S,ExpressVote,42,BMD,11,,VVSG 1.0 (2005),,,
144,ES&S,DS200,14,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
145,ES&S,ExpressVote,39,BMD,11,,VVSG 1.0 (2005),,,
145,ES&S,DS200,39,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
146,ES&S,ExpressVote,135,BMD,11,,VVSG 1.0 (2005),,,
146,ES&S,DS200,24,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
146,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
147,ES&S,ExpressVote,17,BMD,11,,VVSG 1.0 (2005),,,
147,ES&S,ExpressVote,26,BMD,11,,VVSG 1.0 (2005),,,
149,ES&S,ExpressVote,77,BMD,11,,VVSG 1.0 (2005),,,
150,ES&S,ExpressVote,25,BMD,11,,VVSG 1.0 (2005),,,
150,ES&S,DS200,6,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
151,ES&S,ExpressVote,24,BMD,11,,VVSG 1.0 (2005),,,
151,ES&S,DS200,9,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
152,ES&S,ExpressVote,31,BMD,11,,VVSG 1.0 (2005),,,
152,ES&S,DS200,12,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
153,ES&S,ExpressVote,48,BMD,11,,VVSG 1.0 (2005),,,
153,ES&S,DS200,21,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
154,ES&S,DS200,10,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
154,ES&S,ExpressVote,41,BMD,11,,VVSG 1.0 (2005),,,
155,ES&S,ExpressVote,331,BMD,11,,VVSG 1.0 (2005),,,
155,ES&S,DS200,52,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
156,ES&S,ExpressVote,150,BMD,11,,VVSG 1.0 (2005),,,
157,ES&S,ExpressVote,21,BMD,11,,VVSG 1.0 (2005),,,
157,ES&S,DS200,9,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
158,ES&S,ExpressVote,40,BMD,11,,VVSG 1.0 (2005),,,
159,ES&S,ExpressVote,2,BMD,11,,VVSG 1.0 (2005),,,
159,ES&S,DS200,2,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
160,ES&S,ExpressVote,10,BMD,11,,VVSG 1.0 (2005),,,
160,ES&S,DS300,3,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
160,ES&S,DS450,2,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
161,Dominion,ImageCast X/ICX BMD,45,,-1,,,,,
161,Dominion,ImageCast Central/ICC,4,,-1,,,,,
162,Dominion,ImageCast X/ICX BMD,6,,-1,,,,,
162,Dominion,ImageCast Central/ICC,2,,-1,,,,,
163,Dominion,ImageCast X/ICX BMD,352,,-1,,,,,
163,Dominion,ImageCast Central/ICC,10,,-1,,,,,
164,Dominion,ImageCast Evolution/ICE,20,,-1,,,,,
164,Dominion,ImageCast Central/ICC,2,,-1,,,,,
164,Dominion,ImageCast Evolution/ICE,0,,-1,,,,,
165,Dominion,ImageCast X/ICX BMD,41,,-1,,,,,
165,Dominion,ImageCast Central/ICC,5,,-1,,,,,
166,Dominion,ImageCast X/ICX BMD,180,,-1,,,,,
166,Dominion,ImageCast Central/ICC,6,,-1,,,,,
166,Dominion,ImageCast Evolution/ICE,54,,-1,,,,,
167,Dominion,ImageCast X/ICX BMD,10,,-1,,,,,
167,Dominion,ImageCast Evolution/ICE,4,,-1,,,,,
167,Dominion,ImageCast Evolution/ICE,0,,-1,,,,,
168,Hart,Verity Touch Writer,40,,-1,,,,,
168,Hart,Verity Central,2,,-1,,,,,
168,Hart,Verity Scan,14,,-1,,,,,
169,Dominion,ImageCast X/ICX BMD,76,,-1,,,,,
169,Dominion,ImageCast Central/ICC,4,,-1,,,,,
170,Dominion,ImageCast X/ICX BMD,10,,-1,,,,,
170,Dominion,ImageCast Central/ICC,2,,-1,,,,,
171,Dominion,ImageCast X/ICX BMD,136,,-1,,,,,
171,Dominion,ImageCast Central/ICC,6,,-1,,,,,
172,Dominion,ImageCast X/ICX BMD,60,,-1,,,,,
172,Dominion,ImageCast Central/ICC,3,,-1,,,,,
173,Hart,Verity Touch Writer,20,,-1,,,,,
173,Hart,Verity Central,3,,-1,,,,,
174,ES&S,ExpressVote,9,BMD,11,,VVSG 1.0 (2005),,,
174,ES&S,DS200,5,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
174,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
175,Los Angeles County,VSAP Ballot Marking Device,11144,,-1,,,,,
175,Los Angeles County,IBML,22,,-1,,,,,
176,Dominion,ImageCast X/ICX BMD,37,,-1,,,,,
176,Dominion,ImageCast Central/ICC,3,,-1,,,,,
177,Dominion,ImageCast X/ICX BMD,63,,-1,,,,,
177,Dominion,ImageCast Central/ICC,8,,-1,,,,,
178,Dominion,ImageCast X/ICX BMD,12,,-1,,,,,
178,Dominion,ImageCast Central/ICC,2,,-1,,,,,
179,Hart,Verity Touch Writer,21,,-1,,,,,
179,Hart,Verity Central,3,,-1,,,,,
179,Hart,Verity Central,0,,-1,,,,,
180,ES&S,ExpressVote,43,BMD,11,,VVSG 1.0 (2005),,,
180,ES&S,DS300,25,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
180,ES&S,DS950,0,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
181,ES&S,ExpressVote,8,BMD,11,,VVSG 1.0 (2005),,,
181,ES&S,DS200,6,Hand-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
181,ES&S,DS450,1,Batch-Fed Optical Scanner,9,,VVSG 1.0 (2005),72 ballots/minute,,
182,Dominion,ImageCast Evolution/ICE,10,,-1,,,,,
182,Dominion,ImageCast Central/ICC,2,,-1,,,,,
183,Dominion,ImageCast X/ICX BMD,131,,-1,,,,,
183,Dominion,ImageCast Central/ICC,8,,-1,,,,,
184,Dominion,ImageCast X/ICX BMD,58,,-1,,,,,
184,Dominion,ImageCast Central/ICC,2,,-1,,,,,
185,Hart,Verity Touch Writer,27,,-1,,,,,
185,Hart,Verity Central,4,,-1,,,,,
185,Hart,Verity Scan,9,,-1,,,,,
186,Hart,Verity Touch Writer,596,,-1,,,,,
186,Hart,Verity Central,21,,-1,,,,,
186,Hart,Verity Scan,409,,-1,,,,,
187,Dominion,ImageCast X/ICX BMD,116,,-1,,,,,
187,Dominion,ImageCast Central/ICC,5,,-1,,,,,
187,Dominion,ImageCast Evolution/ICE,29,,-1,,,,,
188,Dominion,ImageCast X/ICX BMD,1,,-1,,,,,
188,Dominion,ImageCast Central/ICC,1,,-1,,,,,
189,Dominion,ImageCast X/ICX BMD,1520,,-1,,,,,
189,Dominion,ImageCast Central/ICC,0,,-1,,,,,
189,DOMINION,Precinct 2,150,,-1,,,,,
190,Dominion,ImageCast X/ICX BMD,272,,-1,,,,,
190,Dominion,ImageCast Central/ICC,15,,-1,,,,,
191,Dominion,ImageCast X/ICX BMD,23,,-1,,,,,
191,Dominion,ImageCast Central/ICC,2,,-1,,,,,
192,Dominion,ImageCast X/ICX BMD,939,,-1,,,,,
192,Dominion,ImageCast Central/ICC,16,,-1,,,,,
193,Dominion,ImageCast X/ICX BMD,2722,,-1,,,,,
193,Dominion,ImageCast Central/ICC,22,,-1,,,,,
194,Dominion,ImageCast X/ICX BMD,515,,-1,,,,,
194,Dominion,ImageCast Central/ICC,22,,-1,,,,,
195,Hart,Verity Touch Writer,171,,-1,,,,,
195,Hart,Verity Scan,171,,-1,,,,,
196,Dominion,ImageCast X/ICX BMD,0,,-1,,,,,
196,Dominion,ImageCast Central/ICC,3,,-1,,,,,
197,Dominion,ImageCast X/ICX BMD,357,,-1,,,,,
197,Dominion,ImageCast Central/ICC,7,,-1,,,,,
198,Dominion,ImageCast X/ICX BMD,129,,-1,,,,,
198,Dominion,ImageCast Central/ICC,2,,-1,,,,,
199,Dominion,ImageCast X/ICX BMD,774,,-1,,,,,
199,Dominion,ImageCast Central/ICC,18,,-1,,,,,
199,DOMINION,Precinct 2,275,,-1,,,,,
200,Dominion,ImageCast X/ICX BMD,90,,-1,,,,,
200,Dominion,ImageCast Central/ICC,4,,-1,,,,,
201,Hart,Verity Touch Writer,65,,-1,,,,,
201,Hart,Verity Central,4,,-1,,,,,
202,Hart,Verity Touch Writer,1,,-1,,,,,
202,Hart,Verity Central,1,,-1,,,,,
203,Dominion,ImageCast Evolution/ICE,19,,-1,,,,,
203,Dominion,ImageCast Central/ICC,0,,-1,,,,,
203,Dominion,ImageCast Evolution/ICE,0,,-1,,,,,
204,Hart,Verity Touch Writer,78,,-1,,,,,
204,Hart,Verity Central,6,,-1,,,,,
204,Hart,Verity Scan,0,,-1,,,,,
205,Dominion,ImageCast X/ICX BMD,93,,-1,,,,,
205,Dominion,ImageCast Central/ICC,6,,-1,,,,,
206,Hart,Verity Touch Writer,98,,-1,,,,,
206,Hart,Verity Central,9,,-1,,,,,
206,Hart,Verity Scan,41,,-1,,,,,
207,Dominion,ImageCast X/ICX BMD,28,,-1,,,,,
207,Dominion,ImageCast Central/ICC,2,,-1,,,,,
208,Dominion,ImageCast X/ICX BMD,28,,-1,,,,,
208,Dominion,ImageCast Central/ICC,0,,-1,,,,,
208,Dominion,ImageCast Evolution/ICE,0,,-1,,,,,
209,Hart,Verity Touch Writer,4,,-1,,,,,
209,Hart,Verity Central,1,,-1,,,,,
209,Hart,Verity Scan,4,,-1,,,,,
210,Dominion,ImageCast X/ICX BMD,67,,-1,,,,,
210,Dominion,ImageCast Central/ICC,5,,-1,,,,,
210,Dominion,ImageCast Evolution/ICE,0,,-1,,,,,
211,Dominion,ImageCast X/ICX BMD,17,,-1,,,,,
211,Dominion,ImageCast Central/ICC,2,,-1,,,,,
212,Dominion,ImageCast X/ICX BMD,175,,-1,,,,,
212,Dominion,ImageCast Central/ICC,6,,-1,,,,,
213,Hart,Verity Touch Writer,40,,-1,,,,,
213,Hart,Verity Central,0,,-1,,,,,
214,Dominion,ImageCast X/ICX BMD,31,,-1,,,,,
214,Dominion,ImageCast Central/ICC,3,,-1,,,,,
215,Avalue,SLD-21V-237-B1R,603,,-1,,,,,
215,Dominion,Democracy Suite 5.10-A,16,,-1,,,,,
216,Hart,Verity Touch Writer,14,,-1,,,,,
216,Hart,Verity Scan,6,,-1,,,,,
217,Dominion,ImageCast X/ICX BMD,199,,-1,,,,,
217,Dominion,ImageCast Central/ICC,7,,-1,,,,,
218,Dominion,ImageCast X/ICX BMD,2,,-1,,,,,
218,Dominion,ImageCast Central/ICC,2,,-1,,,,,
219,Dominion,ImageCast X/ICX BMD,135,,-1,,,,,
219,Dominion,ImageCast Central/ICC,11,,-1,,,,,
220,Dominion,ImageCast X/ICX BMD,4,,-1,,,,,
220,Dominion,ImageCast Central/ICC,1,,-1,,,,,
221,Dominion,ImageCast X/ICX BMD,2,,-1,,,,,
221,Dominion,ImageCast Central/ICC,2,,-1,,,,,
222,Dominion,ImageCast X/ICX BMD,2,,-1,,,,,
222,Dominion,ImageCast Central/ICC,2,,-1,,,,,
223,Dominion,ImageCast X/ICX BMD,54,,-1,,,,,
223,Dominion,ImageCast Central/ICC,11,,-1,,,,,
224,Dominion,ImageCast X/ICX BMD,35,,-1,,,,,
224,Dominion,ImageCast Central/ICC,3,,-1,,,,,
225,Dominion,ImageCast X/ICX BMD,4,,-1,,,,,
225,Dominion,ImageCast Central/ICC,2,,-1,,,,,
226,Dominion,ImageCast X/Samsung Galaxy Tab Pro,2,,-1,,,,,
226,Dominion,ImageCast Central/ICC,2,,-1,,,,,
227,Dominion,ImageCast X/ICX BMD,4,,-1,,,,,
227,Dominion,ImageCast Central/ICC,2,,-1,,,,,
228,Dominion,ImageCast X/ICX BMD,2,,-1,,,,,
228,Dominion,ImageCast Central/ICC,1,,-1,,,,,
229,Dominion,ImageCast X/ICX BMD,3,,-1,,,,,
229,Dominion,ImageCast Central/ICC,2,,-1,,,,,
230,Dominion,ImageCast X/ICX BMD,2,,-1,,,,,
230,Dominion,ImageCast Central/ICC,2,,-1,,,,,
231,Dominion,ImageCast X/ICX BMD,3,,-1,,,,,
231,Dominion,ImageCast Central/ICC,2,,-1,,,,,
232,Dominion,ImageCast X/ICX BMD,12,,-1,,,,,
232,Dominion,ImageCast Central/ICC,2,,-1,,,,,
233,Dominion,ImageCast X/ICX BMD,185,,-1,,,,,
233,Dominion,ImageCast Central/ICC,4,,-1,,,,,
234,Dominion,ImageCast X/ICX BMD,2,,-1,,,,,
234,Dominion,ImageCast Central/ICC,2,,-1,,,,,
235,Clear Ballot,ClearAccess,63,BMD,-1,,VVSG 1.0 (2005),,,
235,Clear Ballot,ClearCount,8,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
236,Dominion,ImageCast X/ICX BMD,17,,-1,,,,,
236,Dominion,ImageCast Central/ICC,3,,-1,,,,,
237,Dominion,ImageCast X/Samsung Galaxy Tab Pro,7,,-1,,,,,
237,Dominion,ImageCast Central/ICC,2,,-1,,,,,
238,Dominion,ImageCast X/ICX BMD,110,,-1,,,,,
238,Dominion,ImageCast Central/ICC,8,,-1,,,,,
239,Dominion,ImageCast X/ICX BMD,10,,-1,,,,,
239,Dominion,ImageCast Central/ICC,2,,-1,,,,,
240,Clear Ballot,ClearAccess,16,BMD,-1,,VVSG 1.0 (2005),,,
240,Clear Ballot,ClearCount,2,Batch-Fed Optical Scanner,-1,,VVSG 1.0 (2005),,,
241,Dominion,ImageCast X/ICX BMD,2,,-1,,,,,
241,Dominion,ImageCast Central/ICC,2,,-1,,,,,
242,Dominion,ImageCast X/Samsung Galaxy Tab Pro,6,,-1,,,,,
242,Dominion,ImageCast Central/ICC,1,,-1,,,,,
243,Dominion,ImageCast X/ICX BMD,5,,-1,,,,,
243,Dominion,ImageCast Central/ICC,2,,-1,,,,,
244,Dominion,ImageCast X/ICX BMD,1,,-1,,,,,
