region_id,total_registered_voters,Moved,Death,Felony,Fail Response,Incompetent to Vote,Voter Request,Duplicate Records
1883,5095,402,125,2,256,0,18,41
1884,731,54,15,0,0,0,1,14
1885,8782,567,175,0,57,0,7,13
1886,36530,2313,607,0,624,0,75,178
1887,5617,384,86,0,137,0,10,30
1888,25275,1611,457,3,340,0,56,115
1889,6599,426,106,0,38,0,10,40
1890,18555,1604,338,0,185,0,20,98
1891,13436,891,311,1,2,0,17,97
1892,62521,3766,1274,1,1212,0,104,600
1893,7553,420,117,0,70,0,8,50
1894,19486,1595,254,1,339,0,8,103
1895,70890,3817,1461,1585,87,0,108,948
1896,24215,1830,365,3,326,0,22,113
1897,15072,1280,217,0,123,0,18,59
1898,12956,1132,246,0,113,0,14,123
1899,11016,617,172,0,4,0,8,85
1900,12561,665,179,0,18,0,20,82
1901,15193,772,346,0,127,0,19,108
1902,13692,970,308,1,250,0,18,68
1903,44574,3067,785,0,1064,0,108,247
1904,14558,751,330,0,267,0,23,102
1905,448,31,2,0,0,0,8,1
1906,1181,75,28,0,17,0,10,12
1907,4399,356,80,0,154,0,10,51
1908,100,20,3,0,0,0,2,1
1909,4445,354,107,0,46,0,1,41
1910,3833,410,70,0,10,0,3,8
1911,2786,237,47,0,79,0,7,8
1912,14310,1185,234,0,644,0,20,86
1913,27006,2309,367,0,316,0,33,245
1914,31420,2822,694,0,251,0,35,236
1915,6842,574,72,0,0,0,52,29
1916,23112,1886,538,1,283,0,31,173
1917,3035,234,59,0,34,0,9,17
1918,6988,532,112,0,48,0,7,63
1919,24153,1290,525,0,186,0,88,251
1920,5717,438,106,1,39,0,3,68
1921,5862,471,78,0,65,0,5,51
1922,52011,3255,877,0,3004,0,101,366
1923,12391,874,277,0,18,0,4,116
1924,49341,3404,684,3,2827,0,59,616
1925,62305,5051,1040,1,294,0,42,1144
1926,10058,835,165,1,12,0,8,51
1927,4467,399,84,0,27,0,61,52
1928,17098,1075,294,0,143,0,18,158
1929,6067,557,124,2,0,0,14,21
1930,42544,3110,664,0,5,0,111,325
1931,7445,466,129,0,120,0,2,57
1932,2841,223,70,0,27,0,14,9
1933,6014,425,81,0,1,0,23,37
1934,15563,1606,302,1,818,0,15,121
1935,23707,2085,482,0,14,0,16,212
1936,42057,3159,1162,153,613,0,51,364
1937,6371,536,167,17,47,0,9,46
1938,5049,540,86,0,48,0,21,37
1939,35348,3724,352,0,776,0,33,149
1940,7848,591,184,0,102,0,14,55
1941,22564,1645,441,0,180,0,32,161
1942,12559,1052,174,0,6,0,33,70
1943,5199,407,98,0,47,0,9,15
1944,3176,338,55,0,24,0,11,42
1945,3926,280,55,0,16,0,4,47
1946,1480,82,25,0,3,0,23,9
1947,1858,139,35,0,34,0,3,15
1948,1443,103,26,0,12,0,12,10
1949,961,62,14,0,1,0,44,1
1950,1394,70,35,0,0,0,2,11
1951,1512,105,30,0,20,0,3,23
1952,4136,421,85,0,20,0,9,23
1953,1324,106,39,0,23,0,2,1
1954,1306,138,35,0,0,0,2,11
1955,13909,1289,359,0,513,0,19,187
1956,267,22,12,0,1,0,8,9
1957,563,35,16,0,0,0,4,4
1958,1568,125,29,0,40,0,1,5
1959,612,46,9,0,1,0,2,16
1960,90,9,3,0,0,0,0,2
1961,7141,680,154,0,2,0,8,32
1962,898,69,18,0,2,0,5,8
1963,2531,231,51,0,148,0,19,37
1964,6453,547,177,0,0,0,16,32
1965,326,27,12,0,1,0,0,5
1966,1553,126,37,1,4,0,2,9
1967,1558,119,21,0,29,0,2,5
1968,2602,434,33,0,93,0,4,10
1969,697,54,15,0,0,0,0,4
1970,777,67,13,0,2,0,2,8
1971,1299,85,17,0,0,0,0,4
1972,22905,1781,562,0,945,0,34,140
1973,1021,150,19,0,9,0,3,3
1974,3074,303,57,0,0,0,4,30
1975,954,101,22,0,10,0,4,8
1976,43707,3155,1019,1,1166,0,56,563
1977,13811,867,267,0,121,0,6,87
1978,1268,98,25,0,0,0,1,12
1979,4366,275,69,0,48,0,8,4
1980,2363,201,45,0,0,0,24,224
1981,30349,2505,536,0,1072,0,26,556
1982,12960,855,252,0,3,0,18,601
1983,16267,893,363,0,202,0,33,139
1984,6815,418,130,0,32,0,19,57
1985,663,56,19,0,0,0,1,10
1986,9984,767,212,0,276,0,17,101
1987,1332,167,27,0,0,0,0,25
1988,7945,547,152,0,168,0,17,51
1989,120078,6073,2205,2,27,0,126,903
1990,408,32,11,0,2,0,7,2
1991,1537,149,43,0,0,0,1,1
1992,29723,1770,621,1,325,0,115,181
1993,21453,1567,477,0,605,0,26,260
1994,12096,584,249,0,168,0,74,87
1995,14704,1825,243,0,925,0,33,98
1996,12629,763,216,1,182,0,14,68
1997,1028,70,14,0,1,0,2,0
1998,729,56,8,0,0,0,3,4
1999,13375,1050,269,0,283,0,18,56
2000,807,45,21,0,0,0,3,3
2001,5192,355,100,0,73,0,12,48
2002,4074,443,88,1,51,0,31,19
2003,2791,192,83,0,58,0,8,21
2004,1781,216,32,6,0,0,4,11
2005,380,28,3,0,1,0,4,1
2006,23436,2130,516,0,2,0,56,170
2007,1070,103,16,0,30,0,3,2
2008,549,45,13,0,0,0,1,4
2009,4991,414,79,0,0,0,8,45
2010,13275,913,323,0,0,0,18,122
2011,8068,566,168,0,158,0,36,62
2012,1439,95,13,0,0,0,2,1
2013,2211,178,51,0,0,0,0,22
2014,1033,100,20,0,0,0,0,0
2015,16228,1928,227,0,227,0,23,172
2016,33504,3316,558,0,279,0,89,80
2017,2635,198,46,0,104,0,7,4
2018,12959,1172,196,1,48,0,23,104
2019,6603,683,100,0,10,0,14,26
2020,10791,913,246,0,179,0,13,95
2021,18870,1757,275,0,525,0,27,125
2022,32831,2253,583,0,4,0,29,159
