region_id,region_name,democrat_votes_2024,republican_votes_2024,total_ballots,mail_in_ballots,total_presidential_votes_2024,percent_republican,percent_mail_in_ballot
938,Buchanan,3766,6790,10856,1226,10856,62.55,11.29
939,Buena Vista,2462,4962,7593,597,7593,65.35,7.86
940,Butler,2144,5784,8102,979,8102,71.39,12.08
941,Calhoun,1328,3708,5121,591,5121,72.41,11.54
942,Carroll,3153,7814,11209,1268,11209,69.71,11.31
943,Cass,2077,5007,7292,734,7292,68.66,10.07
944,Cedar,4075,6390,10709,1350,10709,59.67,12.61
945,Cerro Gordo,9955,12627,23152,2321,23152,54.54,10.03
946,Cherokee,1611,4398,6143,650,6143,71.59,10.58
947,Chickasaw,1919,4234,6277,962,6277,67.45,15.33
948,Clarke,1265,3140,4552,426,4552,68.98,9.36
949,Clay,2367,6047,8609,762,8609,70.24,8.85
950,Clayton,3017,6255,9461,1216,9461,66.11,12.85
951,Clinton,9472,13964,24026,3930,24026,58.12,16.36
952,Crawford,1812,4651,6605,748,6605,70.42,11.32
953,Dallas,29402,32374,63330,9871,63330,51.12,15.59
954,Davis,878,3027,3970,414,3970,76.25,10.43
955,Decatur,957,2711,3754,362,3754,72.22,9.64
956,Delaware,2978,6984,10211,1296,10211,68.4,12.69
957,Des Moines,7935,10794,19171,2946,19171,56.3,15.37
958,Dickinson,3297,7775,11319,1392,11319,68.69,12.3
959,Dubuque,23705,28224,53057,9254,53057,53.2,17.44
960,Emmet,1315,3422,4831,362,4831,70.83,7.49
961,Fayette,3334,6325,9928,1431,9928,63.71,14.41
962,Floyd,2782,4744,7704,843,7704,61.58,10.94
963,Franklin,1393,3431,4947,547,4947,69.36,11.06
964,Fremont,1023,2711,3814,377,3814,71.08,9.88
965,Greene,1603,3211,4968,478,4968,64.63,9.62
966,Grundy,2019,4998,7202,898,7202,69.4,12.47
967,Guthrie,1974,4446,6606,906,6606,67.3,13.71
968,Hamilton,2482,5004,7643,916,7643,65.47,11.98
969,Hancock,1523,4336,5979,601,5979,72.52,10.05
970,Hardin,2553,5790,8538,1005,8538,67.81,11.77
971,Harrison,2245,5566,8015,676,8015,69.44,8.43
972,Henry,2995,6439,9673,1043,9673,66.57,10.78
973,Howard,1619,3157,4884,464,4884,64.64,9.5
974,Humboldt,1236,3770,5135,631,5135,73.42,12.29
975,Ida,826,2771,3671,354,3671,75.48,9.64
976,Iowa,3400,6068,9704,1228,9704,62.53,12.65
977,Jackson,3567,7074,10849,1622,10849,65.2,14.95
978,Jasper,7141,12701,20306,2266,20306,62.55,11.16
979,Jefferson,3788,4353,8454,999,8454,51.49,11.82
980,Johnson,58846,26087,87107,8734,87107,29.95,10.03
981,Jones,3942,6820,11054,1610,11054,61.7,14.56
982,Keokuk,1219,3869,5182,624,5182,74.66,12.04
983,Kossuth,2284,5983,8450,1019,8450,70.8,12.06
984,Lee,5659,10152,16311,2520,16311,62.24,15.45
985,Linn,66358,54237,123750,14701,123750,43.83,11.88
986,Louisa,1480,3584,5178,595,5178,69.22,11.49
987,Lucas,1169,3400,4676,481,4676,72.71,10.29
988,Lyon,1023,5899,7046,897,7046,83.72,12.73
989,Madison,3008,6864,10117,1020,10117,67.85,10.08
990,Mahaska,2577,8207,11017,1381,11017,74.49,12.54
991,Marion,5928,13289,19661,2792,19661,67.59,14.2
992,Marshall,7134,9815,17406,2155,17406,56.39,12.38
993,Mills,2456,5671,8329,904,8329,68.09,10.85
994,Mitchell,1943,3736,5796,677,5796,64.46,11.68
995,Monona,1236,3331,4669,499,4669,71.34,10.69
996,Monroe,1002,3104,4185,415,4185,74.17,9.92
997,Montgomery,1508,3486,5105,638,5105,68.29,12.5
998,Muscatine,8212,11152,19873,2769,19873,56.12,13.93
999,O Brien,1428,5998,7569,934,7569,79.24,12.34
1000,Osceola,555,2623,3245,341,3245,80.83,10.51
1001,Page,2060,5153,7419,976,7419,69.46,13.16
1002,Palo Alto,1338,3576,5013,525,5013,71.33,10.47
1003,Plymouth,3104,10661,14084,1789,14084,75.7,12.7
1004,Pocahontas,796,2727,3600,453,3600,75.75,12.58
1005,Polk,140075,112240,258067,40731,258067,43.49,15.78
1006,Pottawattamie,17468,26335,44766,6533,44766,58.83,14.59
1007,Poweshiek,4067,5758,10069,1257,10069,57.19,12.48
1008,Ringgold,638,2015,2711,258,2711,74.33,9.52
1009,Sac,1289,4100,5498,527,5498,74.57,9.59
1010,Scott,42479,45976,90612,12288,90612,50.74,13.56
1011,Shelby,1811,4600,6543,863,6543,70.3,13.19
1012,Sioux,2626,16053,19120,2189,19120,83.96,11.45
1013,Story,26765,21665,49818,6073,49818,43.49,12.19
1014,Tama,3070,5379,8685,811,8685,61.93,9.34
1015,Taylor,666,2381,3102,348,3102,76.76,11.22
1016,Union,1874,4044,6041,837,6041,66.94,13.86
1017,Van Buren,778,2785,3655,354,3655,76.2,9.69
1018,Wapello,4896,9479,14697,1741,14697,64.5,11.85
1019,Warren,12712,19486,33123,4258,33123,58.83,12.86
1020,Washington,4297,7119,11673,1516,11673,60.99,12.99
1021,Wayne,643,2426,3162,321,3162,76.72,10.15
1022,Webster,5641,10850,16825,2000,16825,64.49,11.89
1023,Winnebago,1909,3636,5668,535,5668,64.15,9.44
1024,Winneshiek,5321,6427,12079,1475,12079,53.21,12.21
1025,Woodbury,16145,25969,43247,5818,43247,60.05,13.45
1026,Worth,1508,2715,4313,407,4313,62.95,9.44
1027,Wright,1770,3853,5772,756,5772,66.75,13.1
